token,gold_pos,gold_genero,gold_numero,spacy_pos,spacy_genero,spacy_numero,stanza_pos,stanza_genero,stanza_numero
Título,NOUN,Masc,Sing,PROPN,-,-,NOUN,Masc,Sing
científico,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
completo,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
:,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Estudio,NOUN,Masc,Sing,PROPN,-,-,NOUN,Masc,Sing
a,ADP,-,-,ADP,-,-,ADP,-,-
largo,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
plazo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,-
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
aleatorizado,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
con,ADP,-,-,ADP,-,-,ADP,-,-
doble,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
enmascaramiento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
controlado,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
con,ADP,-,-,ADP,-,-,ADP,-,-
placebo,NOUN,Masc,Sing,PROPN,-,-,NOUN,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
para,ADP,-,-,ADP,-,-,ADP,-,-
determinar,VERB,-,-,VERB,-,-,VERB,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
efecto,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
albiglutida,NOUN,Fem,-,ADJ,Fem,Sing,NOUN,Fem,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
cuando,SCONJ,-,-,SCONJ,-,-,SCONJ,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
añade,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
tratamiento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
hipoglucemiante,ADJ,Masc,Sing,ADV,-,-,ADJ,-,Sing
habitual,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
en,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
incidentes,NOUN,Masc,Plur,NOUN,-,Plur,NOUN,-,Plur
cardiovasculares,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
graves,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
en,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
pacientes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
padecen,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
diabetes,NOUN,Fem,-,NOUN,Fem,-,NOUN,Fem,-
mellitus,ADJ,Masc,-,ADJ,Masc,Plur,PROPN,-,-
de,ADP,-,-,ADP,-,-,ADP,-,-
tipo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
2,NUM,-,-,NUM,-,-,NUM,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Información,NOUN,Fem,Sing,PROPN,-,-,NOUN,Fem,Sing
general,ADJ,Fem,Sing,ADJ,-,Sing,ADJ,-,Sing
sobre,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
clínico,ADJ,Masc,Sing,ADJ,Masc,Sing,ADJ,Masc,Sing
¿,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Cuándo,PRON,-,-,PRON,-,-,ADV,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
hizo,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
este,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
?,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
El,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
comenzó,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
julio,NOUN,Masc,-,NOUN,-,-,PROPN,-,-
de,ADP,-,-,ADP,-,-,ADP,-,-
2015,NUM,-,-,NUM,-,-,NUM,-,-
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
finalizó,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
marzo,NOUN,Masc,-,NOUN,-,-,PROPN,-,-
de,ADP,-,-,ADP,-,-,ADP,-,-
2018,NUM,-,-,NUM,-,-,NUM,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
¿,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Cuál,PRON,-,Sing,PRON,-,Sing,PRON,-,Sing
era,VERB,-,Sing,AUX,-,Sing,AUX,-,Sing
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
motivo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
principal,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
este,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
?,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
La,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
diabetes,NOUN,Fem,-,NOUN,Fem,-,NOUN,Fem,-
de,ADP,-,-,ADP,-,-,ADP,-,-
tipo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
2,NUM,-,-,NUM,-,-,NUM,-,-
es,VERB,-,Sing,AUX,-,Sing,AUX,-,Sing
una,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
enfermedad,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
que,PRON,-,-,PRON,-,-,PRON,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
produce,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
aumento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
concentración,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
azúcar,NOUN,Masc,Sing,NOUN,-,Sing,NOUN,Masc,Sing
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
glucosa,NOUN,Fem,-,ADJ,Fem,Sing,NOUN,Fem,Sing
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
en,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
sangre,NOUN,Fem,-,NOUN,Fem,Sing,NOUN,Fem,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
A,ADP,-,-,ADP,-,-,ADP,-,-
lo,PRON,Masc,Sing,PRON,Masc,Sing,PRON,Masc,Sing
largo,NOUN,Masc,Sing,NOUN,-,-,NOUN,Masc,-
del,ADP,Masc,Sing,DET,Masc,Sing,ADP,-,-
tiempo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
valores,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
altos,ADJ,Masc,Plur,ADJ,Masc,Plur,ADJ,Masc,Plur
de,ADP,-,-,ADP,-,-,ADP,-,-
azúcar,NOUN,Masc,Sing,NOUN,-,Sing,NOUN,Masc,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
sangre,NOUN,Fem,-,NOUN,Fem,Sing,NOUN,Fem,Sing
pueden,AUX,-,Plur,AUX,-,Plur,AUX,-,Plur
dañar,VERB,-,-,VERB,-,-,VERB,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
corazón,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
riñones,NOUN,Masc,Plur,NOUN,Fem,Plur,NOUN,Masc,Plur
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
ojos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
nervios,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
pacientes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
padecen,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
diabetes,NOUN,Fem,-,NOUN,-,Plur,NOUN,Fem,Plur
de,ADP,-,-,ADP,-,-,ADP,-,-
tipo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
2,NUM,-,-,NUM,-,-,NUM,-,-
tienen,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
una,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
probabilidad,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
mayor,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
contraer,VERB,-,-,VERB,-,-,VERB,-,-
enfermedades,NOUN,Fem,Plur,NOUN,Fem,Plur,NOUN,Fem,Plur
cardiovasculares,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
problemas,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
afectan,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
al,ADP,Masc,Sing,ADP,Masc,Sing,DET,Masc,Sing
corazón,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
a,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
vasos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
sanguíneos,ADJ,Masc,Plur,ADJ,-,Plur,ADJ,Masc,Plur
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Estos,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
problemas,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
pueden,AUX,-,Plur,AUX,-,Plur,AUX,-,Plur
provocar,VERB,-,-,VERB,-,-,VERB,-,-
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
ataque,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
corazón,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
accidente,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
cerebrovascular,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
La,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
albiglutida,NOUN,Fem,-,NOUN,Fem,Sing,NOUN,Fem,Sing
es,VERB,-,Sing,AUX,-,Sing,AUX,-,Sing
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
medicamento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
perteneciente,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
grupo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
agonistas,NOUN,Masc,Plur,NOUN,-,Plur,NOUN,Masc,Plur
del,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
receptor,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
del,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
péptido,NOUN,Masc,Sing,ADJ,Masc,Sing,NOUN,Masc,Sing
1,NUM,-,-,NUM,-,-,NUM,-,-
similar,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
glucagón,NOUN,Masc,-,NOUN,Masc,Sing,NOUN,Masc,Sing
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
GLP-1,NOUN,Masc,-,PROPN,-,-,PROPN,-,-
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
y,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
utiliza,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
para,ADP,-,-,ADP,-,-,ADP,-,-
tratar,VERB,-,-,VERB,-,-,VERB,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
diabetes,NOUN,Fem,Sing,NOUN,Fem,-,NOUN,Fem,-
de,ADP,-,-,ADP,-,-,ADP,-,-
tipo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
2,NUM,-,-,NUM,-,-,NUM,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Aumenta,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
producción,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
insulina,NOUN,Fem,-,NOUN,Fem,Sing,NOUN,Fem,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
La,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
insulina,NOUN,Fem,-,ADJ,Fem,Sing,NOUN,Fem,Sing
ayuda,AUX,-,Sing,NOUN,Fem,Sing,VERB,-,Sing
a,ADP,-,-,ADP,-,-,ADP,-,-
mantener,VERB,-,-,VERB,-,-,VERB,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
valores,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
de,ADP,-,-,ADP,-,-,ADP,-,-
azúcar,NOUN,Masc,Sing,NOUN,-,Sing,NOUN,Masc,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
sangre,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
dentro,ADV,-,-,ADV,-,-,ADV,-,-
de,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
normalidad,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
El,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
propósito,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
este,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
era,AUX,-,Sing,AUX,-,Sing,AUX,-,Sing
ver,VERB,-,-,VERB,-,-,VERB,-,-
si,SCONJ,-,-,SCONJ,-,-,SCONJ,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
pacientes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
añadieron,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
albiglutida,NOUN,Fem,-,ADJ,Fem,Sing,ADJ,Fem,Sing
a,ADP,-,-,ADP,-,-,ADP,-,-
su,DET,-,Sing,DET,-,Sing,DET,-,Sing
tratamiento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
habitual,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
para,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
diabetes,NOUN,Fem,-,NOUN,Fem,-,NOUN,Fem,-
de,ADP,-,-,ADP,-,-,ADP,-,-
tipo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
2,NUM,-,-,NUM,-,-,NUM,-,-
tenían,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
una,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
probabilidad,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
mayor,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
o,CCONJ,-,-,CCONJ,-,-,CCONJ,-,-
menor,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
presentar,VERB,-,-,VERB,-,-,VERB,-,-
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
problema,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
cardiovascular,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
mayor,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
[,PUNCT,-,-,ADP,-,-,PUNCT,-,-
accidente,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
cardiovascular,ADJ,-,Sing,ADJ,-,Sing,ADJ,Masc,Sing
adverso,PROPN,-,-,PROPN,-,-,ADJ,Masc,Sing
mayor,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
ICAG,PROPN,-,-,PROPN,-,-,PROPN,-,-
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
],PUNCT,-,-,VERB,-,Sing,PUNCT,-,-
en,ADP,-,-,ADP,-,-,ADP,-,-
comparación,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
con,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
pacientes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
que,PRON,-,-,PRON,-,-,PRON,-,-
no,ADV,-,-,ADV,-,-,ADV,-,-
añadieron,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
albiglutida,NOUN,Fem,-,ADJ,Fem,Sing,NOUN,Fem,Sing
a,ADP,-,-,ADP,-,-,ADP,-,-
su,DET,-,Sing,DET,-,Sing,DET,-,Sing
medicamento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
habitual,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
para,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
diabetes,NOUN,Fem,-,NOUN,Fem,-,NOUN,Fem,-
de,ADP,-,-,ADP,-,-,ADP,-,-
tipo,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
2,NUM,-,-,NUM,-,-,NUM,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
¿,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Qué,DET,-,-,DET,-,-,DET,-,-
medicamentos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
se,PRON,-,-,PRON,-,-,PRON,-,-
estudiaron,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
?,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Durante,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
asignó,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
a,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
pacientes,NOUN,-,Plur,NOUN,-,Plur,NOUN,-,Plur
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
azar,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
",",PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
a,ADP,-,-,ADP,-,-,ADP,-,-
uno,PRON,Masc,Sing,PRON,Masc,Sing,PRON,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
dos,NUM,-,-,NUM,-,Plur,NUM,-,Plur
siguientes,ADJ,-,Plur,ADJ,-,Plur,ADJ,-,Plur
grupos,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
de,ADP,-,-,ADP,-,-,ADP,-,-
