Token;POS;Género;Número
determinar;VERB;;
el;DET;Masc;Sing
efecto;NOUN;Masc;Sing
de;ADP;;
la;DET;Fem;Sing
albiglutida;NOUN;Fem;
,;PUNCT;;
cuando;SCONJ;;
se;PRON;;
añade;VERB;;Sing
al;ADP;Masc;Sing
tratamiento;NOUN;Masc;Sing
hipoglucemiante;ADJ;Masc;Sing
habitual;ADJ;;Sing
,;PUNCT;;
en;ADP;;
los;DET;Masc;Plur
incidentes;NOUN;Masc;Plur
cardiovasculares;ADJ;;Plur
graves;ADJ;;Plur
en;ADP;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
que;PRON;;
padecen;VERB;;Plur
diabetes;NOUN;Fem;
mellitus;ADJ;Masc;
de;ADP;;
tipo;NOUN;Masc;Sing
2;NUM;;
.;PUNCT;;
Información;NOUN;Fem;Sing
general;ADJ;Fem;Sing
sobre;ADP;;
el;DET;Masc;Sing
estudio;NOUN;Masc;Sing
clínico;ADJ;Masc;Sing
¿;PUNCT;;
Cuándo;PRON;;
se;PRON;;
hizo;VERB;;Sing
este;DET;Masc;Sing
estudio;NOUN;Masc;Sing
?;PUNCT;;
El;DET;Masc;Sing
estudio;NOUN;Masc;Sing
comenzó;VERB;;Sing
en;ADP;;
julio;NOUN;Masc;
de;ADP;;
2015;NUM;;
y;CCONJ;;
finalizó;VERB;;Sing
en;ADP;;
marzo;NOUN;Masc;
de;ADP;;
2018;NUM;;
.;PUNCT;;
¿;PUNCT;;
Cuál;PRON;;Sing
era;VERB;;Sing
el;DET;Masc;Sing
motivo;NOUN;Masc;Sing
principal;ADJ;;Sing
de;ADP;;
este;DET;Masc;Sing
estudio;NOUN;Masc;Sing
?;PUNCT;;
La;DET;Fem;Sing
diabetes;NOUN;Fem;
de;ADP;;
tipo;NOUN;Masc;Sing
2;NUM;;
es;VERB;;Sing
una;DET;Fem;Sing
enfermedad;NOUN;Fem;Sing
en;ADP;;
la;DET;Fem;Sing
que;PRON;;
se;PRON;;
produce;VERB;;Sing
un;DET;Masc;Sing
aumento;NOUN;Masc;Sing
de;ADP;;
la;DET;Fem;Sing
concentración;NOUN;Fem;Sing
de;ADP;;
azúcar;NOUN;Masc;Sing
(;PUNCT;;
glucosa;NOUN;Fem;
);PUNCT;;
en;ADP;;
la;DET;Fem;Sing
sangre;NOUN;Fem;
.;PUNCT;;
A;ADP;;
lo;PRON;Masc;Sing
largo;NOUN;Masc;Sing
del;ADP;Masc;Sing
tiempo;NOUN;Masc;Sing
,;PUNCT;;
los;DET;Masc;Plur
valores;NOUN;Masc;Plur
altos;ADJ;Masc;Plur
de;ADP;;
azúcar;NOUN;Masc;Sing
en;ADP;;
la;DET;Fem;Sing
sangre;NOUN;Fem;
pueden;AUX;;Plur
dañar;VERB;;
el;DET;Masc;Sing
corazón;NOUN;Masc;Sing
,;PUNCT;;
los;DET;Masc;Plur
riñones;NOUN;Masc;Plur
,;PUNCT;;
los;DET;Masc;Plur
ojos;NOUN;Masc;Plur
y;CCONJ;;
los;DET;Masc;Plur
nervios;NOUN;Masc;Plur
.;PUNCT;;
Los;DET;Masc;Plur
pacientes;NOUN;;Plur
que;PRON;;
padecen;VERB;;Plur
diabetes;NOUN;Fem;
de;ADP;;
tipo;NOUN;Masc;Sing
2;NUM;;
tienen;VERB;;Plur
una;DET;Fem;Sing
probabilidad;NOUN;Fem;Sing
mayor;ADJ;;Sing
de;ADP;;
contraer;VERB;;
enfermedades;NOUN;Fem;Plur
cardiovasculares;ADJ;;Plur
(;PUNCT;;
problemas;NOUN;Masc;Plur
que;PRON;;
afectan;VERB;;Plur
al;ADP;Masc;Sing
corazón;NOUN;Masc;Sing
o;CCONJ;;
a;ADP;;
los;DET;Masc;Plur
vasos;NOUN;Masc;Plur
sanguíneos;ADJ;Masc;Plur
);PUNCT;;
.;PUNCT;;
Estos;DET;Masc;Plur
problemas;NOUN;Masc;Plur
pueden;AUX;;Plur
provocar;VERB;;
un;DET;Masc;Sing
ataque;NOUN;Masc;Sing
al;ADP;Masc;Sing
corazón;NOUN;Masc;Sing
o;CCONJ;;
un;DET;Masc;Sing
accidente;NOUN;Masc;Sing
cerebrovascular;ADJ;;Sing
.;PUNCT;;
La;DET;Fem;Sing
albiglutida;NOUN;Fem;
es;VERB;;Sing
un;DET;Masc;Sing
medicamento;NOUN;Masc;Sing
perteneciente;ADJ;;Sing
al;ADP;Masc;Sing
grupo;NOUN;Masc;Sing
de;ADP;;
los;DET;Masc;Plur
agonistas;NOUN;Masc;Plur
del;ADP;Masc;Sing
receptor;NOUN;Masc;Sing
del;ADP;Masc;Sing
péptido;NOUN;Masc;Sing
1;NUM;;
similar;ADJ;;Sing
al;ADP;Masc;Sing
glucagón;NOUN;Masc;
(;PUNCT;;
GLP-1;NOUN;Masc;
);PUNCT;;
y;CCONJ;;
se;PRON;;
utiliza;VERB;;Sing
para;ADP;;
tratar;VERB;;
la;DET;Fem;Sing
diabetes;NOUN;Fem;Sing
de;ADP;;
tipo;NOUN;Masc;Sing
2;NUM;;
.;PUNCT;;
Aumenta;VERB;;Sing
la;DET;Fem;Sing
producción;NOUN;Fem;Sing
de;ADP;;
insulina;NOUN;Fem;
.;PUNCT;;
La;DET;Fem;Sing
insulina;NOUN;Fem;
ayuda;AUX;;Sing
a;ADP;;
mantener;VERB;;
los;DET;Masc;Plur
valores;NOUN;Masc;Plur
de;ADP;;
azúcar;NOUN;Masc;Sing
en;ADP;;
la;DET;Fem;Sing
sangre;NOUN;Fem;Sing
dentro;ADV;;
de;ADP;;
la;DET;Fem;Sing
normalidad;NOUN;Fem;Sing
.;PUNCT;;
El;DET;Masc;Sing
propósito;NOUN;Masc;Sing
de;ADP;;
este;DET;Masc;Sing
estudio;NOUN;Masc;Sing
era;AUX;;Sing
ver;VERB;;
si;SCONJ;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
que;PRON;;
añadieron;VERB;;Plur
albiglutida;NOUN;Fem;
a;ADP;;
su;DET;;Sing
tratamiento;NOUN;Masc;Sing
habitual;ADJ;;Sing
para;ADP;;
la;DET;Fem;Sing
diabetes;NOUN;Fem;
de;ADP;;
tipo;NOUN;Masc;Sing
2;NUM;;
tenían;VERB;;Plur
una;DET;Fem;Sing
probabilidad;NOUN;Fem;Sing
mayor;ADJ;;Sing
o;CCONJ;;
menor;ADJ;;Sing
de;ADP;;
presentar;VERB;;
un;DET;Masc;Sing
problema;NOUN;Masc;Sing
cardiovascular;ADJ;;Sing
mayor;ADJ;;Sing
[;PUNCT;;
accidente;NOUN;Masc;Sing
cardiovascular;ADJ;;Sing
adverso;PROPN;;
mayor;ADJ;;Sing
(;PUNCT;;
ICAG;PROPN;;
);PUNCT;;
];PUNCT;;
en;ADP;;
comparación;NOUN;Fem;Sing
con;ADP;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
que;PRON;;
no;ADV;;
añadieron;VERB;;Plur
albiglutida;NOUN;Fem;
a;ADP;;
su;DET;;Sing
medicamento;NOUN;Masc;Sing
habitual;ADJ;;Sing
para;ADP;;
la;DET;Fem;Sing
diabetes;NOUN;Fem;
de;ADP;;
tipo;NOUN;Masc;Sing
2;NUM;;
.;PUNCT;;
¿;PUNCT;;
Qué;DET;;
medicamentos;NOUN;Masc;Plur
se;PRON;;
estudiaron;VERB;;Plur
?;PUNCT;;
Durante;ADP;;
el;DET;Masc;Sing
estudio;NOUN;Masc;Sing
,;PUNCT;;
se;PRON;;
asignó;VERB;;Sing
a;ADP;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
,;PUNCT;;
al;ADP;Masc;Sing
azar;NOUN;Masc;Sing
,;PUNCT;;
a;ADP;;
uno;PRON;Masc;Sing
de;ADP;;
los;DET;Masc;Plur
dos;NUM;;
siguientes;ADJ;;Plur
grupos;NOUN;Masc;Plur
de;ADP;;
tratamiento;NOUN;Masc;Sing
(;PUNCT;;
asignación;NOUN;Fem;Sing
al;ADP;Masc;Sing
azar;NOUN;Masc;Sing
);PUNCT;;
.;PUNCT;;
Ni;CCONJ;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
ni;CCONJ;;
los;DET;Masc;Plur
médicos;NOUN;Masc;Plur
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
sabían;VERB;;Plur
quién;PRON;;Sing
estaba;AUX;;Sing
recibiendo;VERB;;
cada;DET;;Sing
tratamiento;NOUN;Masc;Sing
.;PUNCT;;
Esto;PRON;Masc;Sing
se;PRON;;
denomina;VERB;;Sing
estudio;NOUN;Masc;Sing
con;ADP;;
doble;ADJ;;Sing
enmascaramiento;NOUN;Masc;Sing
.;PUNCT;;
Medicamentos;NOUN;Masc;Plur
usados;ADJ;Masc;Plur
en;ADP;;
el;DET;Masc;Sing
estudio;NOUN;Masc;Sing
Placebo;NOUN;Masc;Sing
•;PUNCT;;
Inyectable;NOUN;Masc;Sing
que;PRON;;
contiene;VERB;;Sing
placebo;NOUN;Masc;Sing
(;PUNCT;;
medicamento;NOUN;Masc;Sing
inactivo;ADJ;Masc;Sing
);PUNCT;;
Albiglutida;NOUN;Fem;
•;PUNCT;;
Inyectable;NOUN;Masc;Sing
que;PRON;;
contiene;VERB;;Sing
30;NUM;;
or;CCONJ;;
50;NUM;;
milligramos;NOUN;Masc;Plur
(;PUNCT;;
mg;NOUN;Masc;Sing
);PUNCT;;
de;ADP;;
albiglutida;NOUN;Fem;
Los;DET;Masc;Plur
pacientes;NOUN;;Plur
se;PRON;;
autoinyectaron;VERB;;Plur
placebo;NOUN;Masc;Sing
o;CCONJ;;
albiglutida;NOUN;Fem;
una;DET;Fem;Sing
vez;NOUN;Fem;Sing
a;ADP;;
la;DET;Fem;Sing
semana;NOUN;Fem;Sing
por;ADP;;
vía;NOUN;Fem;Sing
subcutánea;ADJ;Fem;Sing
en;ADP;;
la;DET;Fem;Sing
parte;NOUN;Fem;Sing
superior;ADJ;;Sing
de;ADP;;
un;DET;Masc;Sing
brazo;NOUN;Masc;Sing
,;PUNCT;;
el;DET;Masc;Sing
abdomen;NOUN;Masc;Sing
o;CCONJ;;
un;DET;Masc;Sing
muslo;NOUN;Masc;Sing
.;PUNCT;;
Para;ADP;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
del;ADP;Masc;Sing
grupo;NOUN;Masc;Sing
tratado;ADJ;Masc;Sing
con;ADP;;
albiglutida;NOUN;Fem;
,;PUNCT;;
la;DET;Fem;Sing
dosis;NOUN;Fem;
inicial;ADJ;;Sing
de;ADP;;
albiglutida;NOUN;Fem;
fue;VERB;;Sing
de;ADP;;
30;NUM;;
mg;NOUN;Masc;Sing
.;PUNCT;;
Después;ADV;;
de;ADP;;
cinco;NUM;;
semanas;NOUN;Fem;Plur
,;PUNCT;;
se;PRON;;
podía;AUX;;Sing
aumentar;VERB;;
la;DET;Fem;Sing
dosis;NOUN;Fem;
de;ADP;;
medicamento;NOUN;Masc;Sing
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
a;ADP;;
50;NUM;;
mg;NOUN;Masc;Sing
si;SCONJ;;
el;DET;Masc;Sing
médico;NOUN;Masc;Sing
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
pensaba;VERB;;Sing
que;SCONJ;;
la;DET;Fem;Sing
diabetes;NOUN;Fem;
del;ADP;Masc;Sing
paciente;NOUN;;Sing
no;ADV;;
estaba;VERB;;Sing
bien;ADV;;
controlada;ADJ;Fem;Sing
.;PUNCT;;
En;ADP;;
el;DET;Masc;Sing
transcurso;NOUN;Masc;Sing
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
,;PUNCT;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
continuaron;AUX;;Plur
tomando;VERB;;
su;DET;;Sing
medicamento;NOUN;Masc;Sing
habitual;ADJ;;Sing
para;ADP;;
la;DET;Fem;Sing
diabetes;NOUN;Fem;
de;ADP;;
tipo;NOUN;Masc;Sing
2;NUM;;
y;CCONJ;;
la;DET;Fem;Sing
enfermedad;NOUN;Fem;Sing
cardiovascular;ADJ;;Sing
.;PUNCT;;
¿;PUNCT;;
A;ADP;;
qué;DET;;
pacientes;NOUN;;Plur
se;PRON;;
incluyó;VERB;;Sing
en;ADP;;
este;DET;Masc;Sing
estudio;NOUN;Masc;Sing
?;PUNCT;;
Los;DET;Masc;Plur
estudios;NOUN;Masc;Plur
tienen;VERB;;Plur
una;DET;Fem;Sing
lista;NOUN;Fem;Sing
de;ADP;;
requisitos;NOUN;Masc;Plur
que;PRON;;
definen;VERB;;Plur
a;ADP;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
que;PRON;;
pueden;AUX;;Plur
participar;VERB;;
(;PUNCT;;
criterios;NOUN;Masc;Plur
de;ADP;;
inclusión;NOUN;Fem;Sing
);PUNCT;;
y;CCONJ;;
a;ADP;;
los;DET;Masc;Plur
que;PRON;;
no;ADV;;
(;PUNCT;;
criterios;NOUN;Masc;Plur
de;ADP;;
exclusión;NOUN;Fem;Sing
);PUNCT;;
.;PUNCT;;
Los;DET;Masc;Plur
principales;ADJ;;Plur
criterios;NOUN;Masc;Plur
de;ADP;;
inclusión;NOUN;Fem;Sing
y;CCONJ;;
de;ADP;;
exclusión;NOUN;Fem;Sing
de;ADP;;
este;DET;Masc;Sing
estudio;NOUN;Masc;Sing
se;PRON;;
muestran;VERB;;Plur
a;ADP;;
continuación;NOUN;Fem;Sing
.;PUNCT;;
Principales;ADJ;;Plur
criterios;NOUN;Masc;Plur
de;ADP;;
inclusión;NOUN;Fem;Sing
En;ADP;;
el;DET;Masc;Sing
estudio;NOUN;Masc;Sing
se;PRON;;
incluyeron;VERB;;Plur
hombres;NOUN;Masc;Plur
y;CCONJ;;
mujeres;NOUN;Fem;Plur
que;PRON;;
cumplían;VERB;;Plur
las;DET;Fem;Plur
siguientes;ADJ;;Plur
condiciones;NOUN;Fem;Plur
:;PUNCT;;
•;PUNCT;;
Eran;VERB;;Plur
mayores;ADJ;;Plur
de;ADP;;
40;NUM;;
años;NOUN;Masc;Plur
.;PUNCT;;
•;PUNCT;;
Tenían;VERB;;Plur
diabetes;NOUN;Fem;
de;ADP;;
tipo;NOUN;Masc;Sing
2;NUM;;
que;PRON;;
no;ADV;;
estaba;VERB;;Sing
bien;ADV;;
controlada;ADJ;Fem;Sing
con;ADP;;
los;DET;Masc;Plur
medicamentos;NOUN;Masc;Plur
que;PRON;;
tomaban;VERB;;Plur
habitualmente;ADV;;
para;ADP;;
ella;PRON;Fem;Sing
.;PUNCT;;
•;PUNCT;;
Tenían;VERB;;Plur
enfermedad;NOUN;Fem;Sing
cardiovascular;ADJ;;Sing
.;PUNCT;;
Principales;ADJ;;Plur
criterios;NOUN;Masc;Plur
de;ADP;;
exclusión;NOUN;Fem;Sing
Se;PRON;;
excluyó;VERB;;Sing
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
a;ADP;;
los;DET;Masc;Plur
hombres;NOUN;Masc;Plur
y;CCONJ;;
mujeres;NOUN;Fem;Plur
si;SCONJ;;
cumplían;VERB;;Plur
las;DET;Fem;Plur
siguientes;ADJ;;Plur
condiciones;NOUN;Fem;Plur
:;PUNCT;;
•;PUNCT;;
Tenían;VERB;;Plur
una;DET;Fem;Sing
enfermedad;NOUN;Fem;Sing
renal;ADJ;;Sing
grave;ADJ;;Sing
.;PUNCT;;
•;PUNCT;;
Estaban;AUX;;Plur
tomando;VERB;;
un;DET;Masc;Sing
medicamento;NOUN;Masc;Sing
de;ADP;;
la;DET;Fem;Sing
clase;NOUN;Fem;Sing
de;ADP;;
los;DET;Masc;Plur
agonistas;NOUN;;Plur
del;ADP;Masc;Sing
receptor;NOUN;Masc;Sing
del;ADP;Masc;Sing
GLP-1;NOUN;Masc;Sing
antes;ADV;;
de;ADP;;
empezar;VERB;;
el;DET;Masc;Sing
tratamiento;NOUN;Masc;Sing
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
.;PUNCT;;
•;PUNCT;;
Padecían;VERB;;Plur
una;DET;Fem;Sing
enfermedad;NOUN;Fem;Sing
grave;ADJ;;Sing
que;PRON;;
hace;VERB;;Sing
que;SCONJ;;
los;DET;Masc;Plur
alimentos;NOUN;Masc;Plur
permanezcan;VERB;;Plur
en;ADP;;
el;DET;Masc;Sing
estómago;NOUN;Masc;Sing
durante;ADP;;
más;ADV;;
tiempo;NOUN;Masc;Sing
de;ADP;;
lo;PRON;Masc;Sing
normal;ADJ;;Sing
(;PUNCT;;
gastroparesia;NOUN;Fem;Sing
);PUNCT;;
y;CCONJ;;
que;PRON;;
requería;VERB;;Sing
tratamiento;NOUN;Masc;Sing
durante;ADP;;
los;DET;Masc;Plur
seis;NUM;;
meses;NOUN;Masc;Plur
anteriores;ADJ;;Plur
al;ADP;Masc;Sing
comienzo;NOUN;Masc;Sing
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
.;PUNCT;;
•;PUNCT;;
Tenían;VERB;;Plur
antecedentes;NOUN;Masc;Plur
de;ADP;;
inflamación;NOUN;Fem;Sing
del;ADP;Masc;Sing
páncreas;NOUN;Masc;
(;PUNCT;;
pancreatitis;NOUN;Fem;
);PUNCT;;
o;CCONJ;;
corrían;VERB;;Plur
riesgo;NOUN;Masc;Sing
de;ADP;;
presentarla;VERB;Fem;Sing
durante;ADP;;
el;DET;Masc;Sing
estudio;NOUN;Masc;Sing
.;PUNCT;;
Para;ADP;;
obtener;VERB;;
información;NOUN;Fem;Sing
más;ADV;;
detallada;ADJ;Fem;Sing
sobre;ADP;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
incluidos;ADJ;Masc;Plur
en;ADP;;
este;DET;Masc;Sing
estudio;NOUN;Masc;Sing
,;PUNCT;;
consulte;VERB;;Sing
los;DET;Masc;Plur
resúmenes;NOUN;Masc;Plur
de;ADP;;
los;DET;Masc;Plur
resultados;NOUN;Masc;Plur
científicos;ADJ;Masc;Plur
(;PUNCT;;
enlaces;NOUN;Masc;Plur
al;ADP;Masc;Sing
final;NOUN;Masc;Sing
de;ADP;;
este;DET;Masc;Sing
documento;NOUN;Masc;Sing
);PUNCT;;
.;PUNCT;;
Un;DET;Masc;Sing
total;NOUN;Masc;Sing
de;ADP;;
9463;NUM;;
pacientes;NOUN;;Plur
participaron;VERB;;Plur
en;ADP;;
este;DET;Masc;Sing
estudio;NOUN;Masc;Sing
.;PUNCT;;
La;DET;Fem;Sing
tabla;NOUN;Fem;Sing
siguiente;ADJ;;Sing
muestra;VERB;;Sing
el;DET;Masc;Sing
sexo;NOUN;Masc;Sing
y;CCONJ;;
la;DET;Fem;Sing
edad;NOUN;Fem;Sing
de;ADP;;
los;DET;Masc;Plur
pacientes;NOUN;;Plur
incluidos;ADJ;Masc;Plur
en;ADP;;
el;DET;Masc;Sing
estudio;NOUN;Masc;Sing
.;PUNCT;;
¿;PUNCT;;
Cuáles;PRON;;Plur
fueron;VERB;;Plur
los;DET;Masc;Plur
resultados;NOUN;Masc;Plur
globales;ADJ;;Plur
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
?;PUNCT;;
La;DET;Fem;Sing
principal;ADJ;;Sing
comparación;NOUN;Fem;Sing
entre;ADP;;
los;DET;Masc;Plur
grupos;NOUN;Masc;Plur
de;ADP;;
tratamiento;NOUN;Masc;Sing
se;PRON;;
hizo;VERB;;Sing
sobre;ADP;;
el;DET;Masc;Sing
momento;NOUN;Masc;Sing
en;ADP;;
que;PRON;;
aparece;VERB;;Sing
por;ADP;;
primera;ADJ;Fem;Sing
vez;NOUN;Fem;Sing
un;DET;Masc;Sing
problema;NOUN;Masc;Sing
cardiovascular;ADJ;;Sing
mayor;ADJ;;Sing
(;PUNCT;;
accidente;NOUN;Masc;Sing
cardiovascular;ADJ;;Sing
adverso;ADJ;Masc;Sing
mayor;ADJ;;Sing
[;PUNCT;;
ICAG;NOUN;;
];PUNCT;;
);PUNCT;;
.;PUNCT;;
Para;ADP;;
este;DET;Masc;Sing
estudio;NOUN;Masc;Sing
,;PUNCT;;
se;PRON;;
consideran;VERB;;Plur
problemas;NOUN;Masc;Plur
cardiovasculares;ADJ;;Plur
mayores;ADJ;;Plur
un;DET;Masc;Sing
ataque;NOUN;Masc;Sing
al;ADP;Masc;Sing
corazón;NOUN;Masc;Sing
,;PUNCT;;
un;DET;Masc;Sing
accidente;NOUN;Masc;Sing
cerebrovascular;ADJ;;Sing
o;CCONJ;;
la;DET;Fem;Sing
muerte;NOUN;Fem;Sing
cardiovascular;ADJ;;Sing
.;PUNCT;;
Para;ADP;;
comparar;VERB;;
los;DET;Masc;Plur
grupos;NOUN;Masc;Plur
de;ADP;;
tratamiento;NOUN;Masc;Sing
se;PRON;;
utilizó;VERB;;Sing
un;DET;Masc;Sing
cálculo;NOUN;Masc;Sing
en;ADP;;
el;DET;Masc;Sing
que;PRON;;
se;PRON;;
tuvo;VERB;;Sing
en;ADP;;
cuenta;NOUN;Fem;Sing
si;SCONJ;;
se;PRON;;
produjo;VERB;;Sing
un;DET;Masc;Sing
problema;NOUN;Masc;Sing
cardiovascular;ADJ;;Sing
mayor;ADJ;;Sing
y;CCONJ;;
cuándo;PRON;;
se;PRON;;
produjo;VERB;;Sing
(;PUNCT;;
denominado;ADJ;Masc;Sing
acontecimiento;NOUN;Masc;Sing
por;ADP;;
100;NUM;;
años-paciente;NOUN;;
);PUNCT;;
.;PUNCT;;
Para;ADP;;
obtener;VERB;;
información;NOUN;Fem;Sing
más;ADV;;
detallada;ADJ;Fem;Sing
sobre;ADP;;
esta;DET;Fem;Sing
comparación;NOUN;Fem;Sing
,;PUNCT;;
consulte;VERB;;Sing
los;DET;Masc;Plur
resúmenes;NOUN;Masc;Plur
de;ADP;;
los;DET;Masc;Plur
resultados;NOUN;Masc;Plur
científicos;ADJ;Masc;Plur
(;PUNCT;;
enlaces;NOUN;Masc;Plur
al;ADP;Masc;Sing
final;NOUN;Masc;Sing
de;ADP;;
este;DET;Masc;Sing
documento;NOUN;Masc;Sing
);PUNCT;;
.;PUNCT;;
Se;PRON;;
usó;VERB;;Sing
este;DET;Masc;Sing
cálculo;NOUN;Masc;Sing
para;ADP;;
calcular;VERB;;
el;DET;Masc;Sing
riesgo;NOUN;Masc;Sing
(;PUNCT;;
denominado;ADJ;Masc;Sing
riesgo;NOUN;Masc;Sing
relativo;ADJ;Masc;Sing
);PUNCT;;
de;ADP;;
presentar;VERB;;
un;DET;Masc;Sing
problema;NOUN;Masc;Sing
cardiovascular;ADJ;;Sing
mayor;ADJ;;Sing
.;PUNCT;;
Este;DET;Masc;Sing
valor;NOUN;Masc;Sing
de;ADP;;
riesgo;NOUN;Masc;Sing
muestra;VERB;;Sing
si;SCONJ;;
la;DET;Fem;Sing
albiglutida;NOUN;Fem;
aumenta;VERB;;Sing
(;PUNCT;;
valor;NOUN;Masc;Sing
de;ADP;;
riesgo;NOUN;Masc;Sing
mayor;ADJ;;Sing
que;SCONJ;;
uno;NUM;;
);PUNCT;;
o;CCONJ;;
disminuye;VERB;;Sing
(;PUNCT;;
valor;NOUN;Masc;Sing
de;ADP;;
riesgo;NOUN;Masc;Sing
menor;ADJ;;Sing
que;SCONJ;;
uno;NUM;;
);PUNCT;;
el;DET;Masc;Sing
riesgo;NOUN;Masc;Sing
de;ADP;;
un;DET;Masc;Sing
problema;NOUN;Masc;Sing
cardiovascular;ADJ;;Sing
mayor;ADJ;;Sing
.;PUNCT;;
A;ADP;;
continuación;NOUN;Fem;Sing
,;PUNCT;;
se;PRON;;
convirtió;VERB;;Sing
el;DET;Masc;Sing
valor;NOUN;Masc;Sing
del;ADP;Masc;Sing
riesgo;NOUN;Masc;Sing
en;ADP;;
un;DET;Masc;Sing
porcentaje;NOUN;Masc;Sing
para;ADP;;
mostrar;VERB;;
hasta;ADP;;
qué;DET;;
grado;NOUN;Masc;Sing
la;DET;Fem;Sing
albiglutida;NOUN;Fem;
disminuyó;VERB;;Sing
el;DET;Masc;Sing
riesgo;NOUN;Masc;Sing
de;ADP;;
un;DET;Masc;Sing
problema;NOUN;Masc;Sing
cardiovascular;ADJ;;Sing
mayor;ADJ;;Sing
(;PUNCT;;
disminución;NOUN;Fem;Sing
del;ADP;Masc;Sing
riesgo;NOUN;Masc;Sing
relativo;ADJ;Masc;Sing
);PUNCT;;
en;ADP;;
comparación;NOUN;Fem;Sing
con;ADP;;
el;DET;Masc;Sing
placebo;NOUN;Masc;Sing
.;PUNCT;;
Los;DET;Masc;Plur
resultados;NOUN;Masc;Plur
se;PRON;;
muestran;VERB;;Plur
en;ADP;;
la;DET;Fem;Sing
siguiente;ADJ;;Sing
tabla;NOUN;Fem;Sing
.;PUNCT;;
Cuando;SCONJ;;
se;PRON;;
usó;VERB;;Sing
junto;ADP;;
con;ADP;;
el;DET;Masc;Sing
tratamiento;NOUN;Masc;Sing
habitual;ADJ;;Sing
para;ADP;;
la;DET;Fem;Sing
diabetes;NOUN;Fem;
de;ADP;;
tipo;NOUN;Masc;Sing
2;NUM;;
,;PUNCT;;
los;DET;Masc;Plur
resultados;NOUN;Masc;Plur
muestran;VERB;;Plur
que;SCONJ;;
la;DET;Fem;Sing
albiglutida;NOUN;Fem;
disminuyó;VERB;;Sing
el;DET;Masc;Sing
riesgo;NOUN;Masc;Sing
de;ADP;;
presentar;VERB;;
un;DET;Masc;Sing
problema;NOUN;Masc;Sing
cardiovascular;ADJ;;Sing
mayor;ADJ;;Sing
en;ADP;;
